trade_date,trade_status,day_week
2020-01-01,0,4
2020-01-02,1,5
2020-01-03,1,6
2020-01-04,0,7
2020-01-05,0,1
2020-01-06,1,2
2020-01-07,1,3
2020-01-08,1,4
2020-01-09,1,5
2020-01-10,1,6
2020-01-11,0,7
2020-01-12,0,1
2020-01-13,1,2
2020-01-14,1,3
2020-01-15,1,4
2020-01-16,1,5
2020-01-17,1,6
2020-01-18,0,7
2020-01-19,0,1
2020-01-20,1,2
2020-01-21,1,3
2020-01-22,1,4
2020-01-23,1,5
2020-01-24,0,6
2020-01-25,0,7
2020-01-26,0,1
2020-01-27,0,2
2020-01-28,0,3
2020-01-29,0,4
2020-01-30,0,5
2020-01-31,0,6
2020-02-01,0,7
2020-02-02,0,1
2020-02-03,1,2
2020-02-04,1,3
2020-02-05,1,4
2020-02-06,1,5
2020-02-07,1,6
2020-02-08,0,7
2020-02-09,0,1
2020-02-10,1,2
2020-02-11,1,3
2020-02-12,1,4
2020-02-13,1,5
2020-02-14,1,6
2020-02-15,0,7
2020-02-16,0,1
2020-02-17,1,2
2020-02-18,1,3
2020-02-19,1,4
2020-02-20,1,5
2020-02-21,1,6
2020-02-22,0,7
2020-02-23,0,1
2020-02-24,1,2
2020-02-25,1,3
2020-02-26,1,4
2020-02-27,1,5
2020-02-28,1,6
2020-02-29,0,7
2020-03-01,0,1
2020-03-02,1,2
2020-03-03,1,3
2020-03-04,1,4
2020-03-05,1,5
2020-03-06,1,6
2020-03-07,0,7
2020-03-08,0,1
2020-03-09,1,2
2020-03-10,1,3
2020-03-11,1,4
2020-03-12,1,5
2020-03-13,1,6
2020-03-14,0,7
2020-03-15,0,1
2020-03-16,1,2
2020-03-17,1,3
2020-03-18,1,4
2020-03-19,1,5
2020-03-20,1,6
2020-03-21,0,7
2020-03-22,0,1
2020-03-23,1,2
2020-03-24,1,3
2020-03-25,1,4
2020-03-26,1,5
2020-03-27,1,6
2020-03-28,0,7
2020-03-29,0,1
2020-03-30,1,2
2020-03-31,1,3
2020-04-01,1,4
2020-04-02,1,5
2020-04-03,1,6
2020-04-04,0,7
2020-04-05,0,1
2020-04-06,0,2
2020-04-07,1,3
2020-04-08,1,4
2020-04-09,1,5
2020-04-10,1,6
2020-04-11,0,7
2020-04-12,0,1
2020-04-13,1,2
2020-04-14,1,3
2020-04-15,1,4
2020-04-16,1,5
2020-04-17,1,6
2020-04-18,0,7
2020-04-19,0,1
2020-04-20,1,2
2020-04-21,1,3
2020-04-22,1,4
2020-04-23,1,5
2020-04-24,1,6
2020-04-25,0,7
2020-04-26,0,1
2020-04-27,1,2
2020-04-28,1,3
2020-04-29,1,4
2020-04-30,1,5
2020-05-01,0,6
2020-05-02,0,7
2020-05-03,0,1
2020-05-04,0,2
2020-05-05,0,3
2020-05-06,1,4
2020-05-07,1,5
2020-05-08,1,6
