trade_date,trade_status,day_week
2019-01-01,0,3
2019-01-02,1,4
2019-01-03,1,5
2019-01-04,1,6
2019-01-05,0,7
2019-01-06,0,1
2019-01-07,1,2
2019-01-08,1,3
2019-01-09,1,4
2019-01-10,1,5
2019-01-11,1,6
2019-01-12,0,7
2019-01-13,0,1
2019-01-14,1,2
2019-01-15,1,3
2019-01-16,1,4
2019-01-17,1,5
2019-01-18,1,6
2019-01-19,0,7
2019-01-20,0,1
2019-01-21,1,2
2019-01-22,1,3
2019-01-23,1,4
2019-01-24,1,5
2019-01-25,1,6
2019-01-26,0,7
2019-01-27,0,1
2019-01-28,1,2
2019-01-29,1,3
2019-01-30,1,4
2019-01-31,1,5
2019-02-01,1,6
2019-02-02,0,7
2019-02-03,0,1
2019-02-04,0,2
2019-02-05,0,3
2019-02-06,0,4
2019-02-07,0,5
2019-02-08,0,6
2019-02-09,0,7
2019-02-10,0,1
2019-02-11,1,2
2019-02-12,1,3
2019-02-13,1,4
2019-02-14,1,5
2019-02-15,1,6
2019-02-16,0,7
2019-02-17,0,1
2019-02-18,1,2
2019-02-19,1,3
2019-02-20,1,4
2019-02-21,1,5
2019-02-22,1,6
2019-02-23,0,7
2019-02-24,0,1
2019-02-25,1,2
2019-02-26,1,3
2019-02-27,1,4
2019-02-28,1,5
2019-03-01,1,6
2019-03-02,0,7
2019-03-03,0,1
2019-03-04,1,2
2019-03-05,1,3
2019-03-06,1,4
2019-03-07,1,5
2019-03-08,1,6
2019-03-09,0,7
2019-03-10,0,1
2019-03-11,1,2
2019-03-12,1,3
2019-03-13,1,4
2019-03-14,1,5
2019-03-15,1,6
2019-03-16,0,7
2019-03-17,0,1
2019-03-18,1,2
2019-03-19,1,3
2019-03-20,1,4
2019-03-21,1,5
2019-03-22,1,6
2019-03-23,0,7
2019-03-24,0,1
2019-03-25,1,2
2019-03-26,1,3
2019-03-27,1,4
2019-03-28,1,5
2019-03-29,1,6
2019-03-30,0,7
2019-03-31,0,1
2019-04-01,1,2
2019-04-02,1,3
2019-04-03,1,4
2019-04-04,1,5
2019-04-05,0,6
2019-04-06,0,7
2019-04-07,0,1
2019-04-08,1,2
2019-04-09,1,3
2019-04-10,1,4
2019-04-11,1,5
2019-04-12,1,6
2019-04-13,0,7
2019-04-14,0,1
2019-04-15,1,2
2019-04-16,1,3
2019-04-17,1,4
2019-04-18,1,5
2019-04-19,1,6
2019-04-20,0,7
2019-04-21,0,1
2019-04-22,1,2
2019-04-23,1,3
2019-04-24,1,4
2019-04-25,1,5
2019-04-26,1,6
2019-04-27,0,7
2019-04-28,0,1
2019-04-29,1,2
2019-04-30,1,3
2019-05-01,0,4
2019-05-02,0,5
2019-05-03,0,6
2019-05-04,0,7
2019-05-05,0,1
2019-05-06,1,2
2019-05-07,1,3
2019-05-08,1,4
2019-05-09,1,5
2019-05-10,1,6
2019-05-11,0,7
2019-05-12,0,1
2019-05-13,1,2
2019-05-14,1,3
2019-05-15,1,4
2019-05-16,1,5
2019-05-17,1,6
2019-05-18,0,7
2019-05-19,0,1
2019-05-20,1,2
2019-05-21,1,3
2019-05-22,1,4
2019-05-23,1,5
2019-05-24,1,6
2019-05-25,0,7
2019-05-26,0,1
2019-05-27,1,2
2019-05-28,1,3
2019-05-29,1,4
2019-05-30,1,5
2019-05-31,1,6
2019-06-01,0,7
2019-06-02,0,1
2019-06-03,1,2
2019-06-04,1,3
2019-06-05,1,4
2019-06-06,1,5
2019-06-07,0,6
2019-06-08,0,7
2019-06-09,0,1
2019-06-10,1,2
2019-06-11,1,3
2019-06-12,1,4
2019-06-13,1,5
2019-06-14,1,6
2019-06-15,0,7
2019-06-16,0,1
2019-06-17,1,2
2019-06-18,1,3
2019-06-19,1,4
2019-06-20,1,5
2019-06-21,1,6
2019-06-22,0,7
2019-06-23,0,1
2019-06-24,1,2
2019-06-25,1,3
2019-06-26,1,4
2019-06-27,1,5
2019-06-28,1,6
2019-06-29,0,7
2019-06-30,0,1
2019-07-01,1,2
2019-07-02,1,3
2019-07-03,1,4
2019-07-04,1,5
2019-07-05,1,6
2019-07-06,0,7
2019-07-07,0,1
2019-07-08,1,2
2019-07-09,1,3
2019-07-10,1,4
2019-07-11,1,5
2019-07-12,1,6
2019-07-13,0,7
2019-07-14,0,1
2019-07-15,1,2
2019-07-16,1,3
2019-07-17,1,4
2019-07-18,1,5
2019-07-19,1,6
2019-07-20,0,7
2019-07-21,0,1
2019-07-22,1,2
2019-07-23,1,3
2019-07-24,1,4
2019-07-25,1,5
2019-07-26,1,6
2019-07-27,0,7
2019-07-28,0,1
2019-07-29,1,2
2019-07-30,1,3
2019-07-31,1,4
2019-08-01,1,5
2019-08-02,1,6
2019-08-03,0,7
2019-08-04,0,1
2019-08-05,1,2
2019-08-06,1,3
2019-08-07,1,4
2019-08-08,1,5
2019-08-09,1,6
2019-08-10,0,7
2019-08-11,0,1
2019-08-12,1,2
2019-08-13,1,3
